Description,Status,Parking Included,Parking Price,Locker Included,Locker Price,Building Type,Deposit Structure
"Y&S Condos is a new condominium development by Tenblock Developments & Tribute Communities currently under construction located at 20 Soudan Avenue, Toronto in the Davisville Village neighbourhood with a 99/100 walk score and a 95/100 transit score. Y&S Condos is designed by Graziani + Corazza Architects Inc.. Development is scheduled to be completed in 2024. The project is 38 storeys tall and has a total of 335 suites ranging from 412 sq.ft to 1226 sq.ft. Suites are priced from $699,990 to $1,999,000.",Under Construction,Yes,"$99,000",Yes,Waitlist,Condo,5% On Signing || 5% - 90 days || 5% - 180 days || 1% - Occupancy || 
"The Rhodes Condos is a new condominium development by Blackdoor Development Company currently under construction located at 2010 Bathurst Street, Toronto in the Cedarvale-Oakwood Vaughan neighbourhood with a 90/100 walk score and a 80/100 transit score. The Rhodes Condos is designed by RAW Design and will feature interior design by Ali Budd Interiors. Development is scheduled to be completed in 2024. The project is 8 storeys tall and has a total of 25 suites.",Under Construction,Yes,-,Yes,-,Condo,
"St. Clair Village is a new condominium development by Frontdoor Developments currently under construction located at 177 Caledonia Road, Toronto in the Corso Italia-Earlscourt neighbourhood with a 70/100 walk score and a 74/100 transit score. St. Clair Village is designed by Hunt Design Associates Inc.. Development is scheduled to be completed in 2024. The project has a total of 41 suites ranging from 2015 sq.ft to 3040 sq.ft. Suites are priced from $1,519,900 to $1,529,900.",Under Construction,Yes,"$65,000",Yes,-,Single Family Home,"$25,000.00 On Signing || $25,000.00 - 30 days || $25,000.00 - 60 days || $25,000.00 - 150 days || $20,000.00 - 210 days || "
"Plaza Midtown Condos is a new condominium development by Plaza currently under construction located at 25 Holly Street, Toronto in the Davisville Village neighbourhood with a 98/100 walk score and a 95/100 transit score. Plaza Midtown Condos is designed by BDP Quadrangle. Development is scheduled to be completed in 2023. The project is 34 storeys tall (106.8m, 350.4ft) and has a total of 545 suites ranging from 480 sq.ft to 1058 sq.ft. Plaza Midtown Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $840,000 to $1,542,000.",Under Construction,Yes,Included (1) - Available for 3B,Yes,Included (1) - Available for 2B & 3B,Condo &Townhouse,5% On Signing || 5% - 90 days || 5% - 180 days || 1% - Occupancy || 
"E2 Condos is a new condominium development by Capital Developments & Metropia Urban Landscapes & RioCan Living that is now complete located at 39 Roehampton Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 98/100 walk score and a 94/100 transit score. E2 Condos is designed by TACT Architecture Inc.. Development is scheduled to be completed in 2023. The project is 48 storeys tall and has a total of 440 suites ranging from 626 sq.ft to 2022 sq.ft. Suites are priced from $1,235,990 to $2,849,990.",Complete,Yes,Included (1),Yes,Included (1),Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - Occupancy || "
"Deer Park Crossing is a new condominium development by O'Shanter that is now complete located at 25 Lascelles Boulevard, Toronto in the Deer Park neighbourhood with a 83/100 walk score and a 82/100 transit score. Deer Park Crossing is designed by Julian Jacobs Architects and will feature interior design by Victoria Mansell. The project is 3 storeys tall and has a total of 10 suites ranging from 2958 sq.ft to 2980 sq.ft.",Complete,Yes,Included (2),Yes,-,Townhouse,
"ANX Condos is a new condominium development by Freed Developments currently under construction located at 328 Dupont Street, Toronto in the Casa Loma neighbourhood with a 94/100 walk score and a 95/100 transit score. ANX Condos is designed by Teeple Architects and will feature interior design by Johnson Chou. Development is scheduled to be completed in 2024. The project is 13 storeys tall and has a total of 118 suites ranging from 441 sq.ft to 1945 sq.ft. Suites are priced from $1,217,900 to $4,047,900.",Under Construction,Yes,"$85,000",Yes,"$10,000",Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || 10% - Occupancy || "
"350 Davenport Condos is a new condominium development by EllisDon Capital currently in pre-construction located at 350 Davenport Road, Toronto in the The Annex neighbourhood with a 88/100 walk score and a 89/100 transit score. 350 Davenport Condos is designed by BBB Architects. Development is scheduled to be completed in 2025. The project is 8 storeys tall and has a total of 6 suites.",Pre-Construction,Yes,Included (1),Yes,-,Condo,
"The Humber Condos is a new condominium development by Deltera Inc. & Options for Homes that is now complete located at 10 Wilby Crescent, Toronto in the Weston neighbourhood with a 86/100 walk score and a 83/100 transit score. The Humber Condos is designed by Architecture Unfolded & HCA Architecture. Development is scheduled to be completed in 2023. The project is 22 storeys tall and has a total of 233 suites ranging from 617 sq.ft to 1021 sq.ft. Suites are priced from $685,900 to $883,900.",Complete,Yes,Included (1),Yes,Included (1),Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || "
"Six99 Condos is a new condominium development by Harlo Capital & Originate Developments Inc. currently under construction located at 699 Sheppard Avenue East, Toronto in the Bayview Village neighbourhood with a 70/100 walk score and a 71/100 transit score. Six99 Condos is designed by SRM Architects and will feature interior design by Truong Ly Design Inc.. Development is scheduled to be completed in 2024. The project is 12 storeys tall and has a total of 174 suites ranging from 389 sq.ft to 1198 sq.ft. Suites are priced from $660,000 to $1,998,000.",Under Construction,Yes,"$87,000",Yes,"$15,000",Condo,"$10,000.00 On Signing || Balance to 2.5% - 15 days || 2.5% - 210 days || 2.5% - 390 days || 2.5% - 570 days || "
"Savile on the Roe Condos is a new condominium development by Block Developments & Tiffany Park Homes & Trolleybus Urban Development Inc currently under construction located at 431 Roehampton Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 85/100 walk score and a 82/100 transit score. Savile on the Roe Condos is designed by RAW Design and will feature interior design by Tomas Pearce Interior Design Consulting Inc.. Development is scheduled to be completed in 2023. The project is 5 storeys tall and has a total of 28 suites ranging from 920 sq.ft to 2405 sq.ft. Suites are priced from $3,099,990 to $3,399,990.",Under Construction,Yes,"$89,990",Yes,"$11,400",Townhouse,"$10,000.00 On Signing || Balance to 2.5% - 30 days || 2.5% - 365 days || 2.5% - 540 days || 2.5% - 730 days || 5% - Occupancy || "
"One Bloor Condos is a new condominium development by Great Gulf Homes that is now complete located at 1 Bloor Street East, Toronto in the Church & Wellesley neighbourhood with a 100/100 walk score and a 100/100 transit score. One Bloor Condos is designed by Hariri Pontarini Architects and will feature interior design by Cecconi Simone. Development is scheduled to be completed in 2017. The project is 76 storeys tall (257.0m, 843.2ft) and has a total of 789 suites ranging from 535 sq.ft to 5741 sq.ft. One Bloor Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $5,309,990 to $9,819,990.",Complete,Yes,Included (1),Yes,Included (1),Condo &Luxury,"$20,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 5% - 180 days || 5% - Occupancy || "
"Express 2 Condos is a new condominium development by Malibu Investments Inc. currently in pre-construction located at 6 Tippett Road, Toronto in the Clanton Park neighbourhood with a 34/100 walk score and a 92/100 transit score. Express 2 Condos is designed by RAW Design and will feature interior design by Figure3. Development is scheduled to be completed in 2026. The project is 16 storeys tall and has a total of 395 suites ranging from 403 sq.ft to 849 sq.ft. Suites are priced from $639,990 to $811,990.",Pre-Construction,Yes,"$63,000",Yes,"$5,000",Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || 2.5% - 300 days || 2.5% - 400 days || 2.5% - 600 days || 2.5% - 730 days || "
"Adagio Condos is a new condominium development by Menkes Developments Ltd. currently under construction located at 771 Yonge Street, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 99/100 transit score. Adagio Condos is designed by Giannone Petricone Associates Inc. and will feature interior design by Figure3. Development is scheduled to be completed in 2025. The project is 26 storeys tall (161.0m, 528.2ft) and has a total of 202 suites ranging from 372 sq.ft to 993 sq.ft. Adagio Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $1,192,990 to $1,859,990.",Under Construction,Yes,"$180,000",Yes,-,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 10% - Occupancy || "
"The Perry Condos is a new condominium development by Mansouri Living that is now complete located at 128 Pears Avenue, Toronto in the The Annex neighbourhood with a 94/100 walk score and a 90/100 transit score. The Perry Condos is designed by Young and Wright & IBI Group and will feature interior design by The Design Agency. Development is scheduled to be completed in 2018. The project is 11 storeys tall and has a total of 45 suites ranging from 687 sq.ft to 2921 sq.ft. Suites are priced from $849,000 to $849,000.",Complete,Yes,Included (1),Yes,Included (1),Condo &Luxury &Townhouse,5% On Signing || 15% - Occupancy || 
"Scout Condos is a new condominium development by Graywood Developments Ltd that is now complete located at 1787 Saint Clair Avenue West, Toronto in the The Junction neighbourhood with a 95/100 walk score and a 83/100 transit score. Scout Condos is designed by SMV Architects and will feature interior design by TACT Design. Development is scheduled to be completed in 2023. The project is 12 storeys tall and has a total of 269 suites ranging from 452 sq.ft to 1255 sq.ft. Suites are priced from $961,000 to $965,000.",Complete,Yes,"$45,000",Yes,"$6,000",Condo &Townhouse,"$5,000.00 On Signing || Balance to 5% - 30 days || 10% - Occupancy || "
"Oscar Residences is a new condominium development by Lifetime Developments currently under construction located at 500 Dupont Street, Toronto in the Davenport-Wychwood neighbourhood with a 88/100 walk score and a 94/100 transit score. Oscar Residences is designed by Turner Fleischer Architects and will feature interior design by Mason Studio. Development is scheduled to be completed in 2024. The project is 9 storeys tall (38.0m, 124.7ft) and has a total of 155 suites ranging from 340 sq.ft to 896 sq.ft. Oscar Residences is the # tallest condominium in . Suites are priced from $904,990 to $1,303,990.",Under Construction,Yes,"$79,990",Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - Occupancy || "
"Leaside Common Condos is a new condominium development by Gairloch & Harlo Capital currently in pre-construction located at 1720 Bayview Avenue, Toronto in the Davisville Village neighbourhood with a 87/100 walk score and a 71/100 transit score. Leaside Common Condos is designed by BDP Quadrangle and will feature interior design by Sixteen Degree Studio Inc.. Development is scheduled to be completed in 2025. The project is 9 storeys tall and has a total of 198 suites ranging from 357 sq.ft to 2251 sq.ft. Suites are priced from $801,900 to $3,989,800.",Pre-Construction,Yes,"$85,000",Yes,Waitlist,Condo &Townhouse,"$10,000.00 On Signing || Balance to 5% - 30 days || 2.5% - 375 days || 2.5% - 500 days || 2.5% - 600 days || 2.5% - 725 days || 5% - Occupancy || "
"36 Birch Condos is a new condominium development by North Drive currently under construction located at 26 Birch Avenue, Toronto in the Summerhill neighbourhood with a 91/100 walk score and a 91/100 transit score. 36 Birch Condos is designed by Richard Wengle Architect Inc. and will feature interior design by Michael London Design Inc.. Development is scheduled to be completed in 2022. The project is 4 storeys tall and has a total of 27 suites ranging from 2086 sq.ft to 3186 sq.ft. Suites are priced from $2,885,000 to $3,995,000.",Under Construction,Yes,Included (2),Yes,Included (1),Condo,"$20,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 5% - 270 days || 5% - 365 days || 5% - Occupancy || "
"Craft Residences is a new condominium development by Gairloch & Tenblock Developments currently in pre-construction located at 3200 Dundas Street West, Toronto in the The Junction neighbourhood with a 87/100 walk score and a 73/100 transit score. Craft Residences is designed by BDP Quadrangle and will feature interior design by Mason Studio. Development is scheduled to be completed in 2026. The project is 8 storeys tall and has a total of 86 suites ranging from 411 sq.ft to 1318 sq.ft. Suites are priced from $764,900 to $2,016,000.",Pre-Construction,Yes,"$85,000",Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || 2.5% - 375 days || 2.5% - 725 days || 5% - Occupancy || "
"250 Lawrence Condos is a new condominium development by Graywood Developments Ltd currently under construction located at 250 Lawrence Avenue West, Toronto in the Bedford Park neighbourhood with a 76/100 walk score and a 75/100 transit score. 250 Lawrence Condos is designed by BDP Quadrangle and will feature interior design by Patton Design Studio. Development is scheduled to be completed in 2023. The project is 9 storeys tall and has a total of 159 suites ranging from 491 sq.ft to 1806 sq.ft. Suites are priced from $649,900 to $2,087,900.",Under Construction,Yes,"$69,900",Yes,"$5,000",Condo &Townhouse,"$5,000.00 On Signing || Balance to 5% - 30 days || 10% - Occupancy || "
"Bayview at the Village Condos is a new condominium development by Canderel Residential currently under construction located at 625 Sheppard Avenue East, Toronto in the Bayview Village neighbourhood with a 56/100 walk score and a 61/100 transit score. Bayview at the Village Condos is designed by Graziani + Corazza Architects Inc. and will feature interior design by II BY IV DESIGN. Development is scheduled to be completed in 2024. The project is 10 storeys tall and has a total of 238 suites ranging from 358 sq.ft to 1355 sq.ft. Suites are priced from $999,900 to $1,099,900.",Under Construction,Yes,"Included (1)
(Additional Parking: $89,000)",Yes,(Waitlist),Condo &Townhouse,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 180 days || 10% - Occupancy || "
"Avro Condos is a new condominium development by Davpart Inc. currently in pre-construction located at 10 De Boers Drive, Toronto in the York University neighbourhood with a 56/100 walk score and a 89/100 transit score. Development is scheduled to be completed in 2019. The project is 14 storeys tall and has a total of 180 suites ranging from 475 sq.ft to 1088 sq.ft. Suites are priced from $864,960 to $864,960.",Pre-Construction,Yes,"$55,000",Yes,"$5,000",Condo,5% On Signing || 
"Avenue 151 Yorkville Condos is a new condominium development by Dash Developments Inc that is now complete located at 151 Avenue Road, Toronto in the Yorkville neighbourhood with a 98/100 walk score and a 93/100 transit score. Avenue 151 Yorkville Condos is designed by Teeple Architects and will feature interior design by EsQape Design Inc.. Development is scheduled to be completed in 2020. The project is 10 storeys tall (38.0m, 124.7ft) and has a total of 70 suites ranging from 640 sq.ft to 2677 sq.ft. Avenue 151 Yorkville Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $1,848,000 to $2,600,000.",Complete,Yes,"$125,000",Yes,"$10,000",Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || "
"The Capitol Residences is a new condominium development by Madison Group & Westdale Properties currently under construction located at 2500 Yonge Street, Toronto in the Lytton Park neighbourhood with a 90/100 walk score and a 87/100 transit score. The Capitol Residences is designed by Hariri Pontarini Architects & Turner Fleischer Architects and will feature interior design by Studio Munge. Development is scheduled to be completed in 2025. The project is 14 storeys tall and has a total of 145 suites ranging from 425 sq.ft to 2165 sq.ft. Suites are priced from $1,549,900 to $2,599,900.",Under Construction,Yes,"$99,000",Yes,"$6,000",Condo &Townhouse,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 5% - 500 days || 5% - Occupancy || "
"Residences on Keewatin Park is a new condominium development by Freed Developments & Trolleybus Urban Development Inc currently under construction located at 200 Keewatin Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 74/100 walk score and a 80/100 transit score. Residences on Keewatin Park is designed by RAW Design. Development is scheduled to be completed in 2024. The project is 4 storeys tall and has a total of 36 suites ranging from 801 sq.ft to 2087 sq.ft. Suites are priced from $2,099,900 to $3,599,900.",Under Construction,Yes,"$75,000",Yes,Waitlist,Townhouse,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || 10% - Occupancy || "
"Wilson West Condos is a new condominium development by First Avenue Properties currently in pre-construction located at 1184 Wilson Avenue, Toronto in the Downsview neighbourhood with a 67/100 walk score and a 67/100 transit score. Wilson West Condos is designed by Architecture Unfolded and will feature interior design by Create Design & Co.. Development is scheduled to be completed in 2026. The project is 12 storeys tall and has a total of 262 suites ranging from 457 sq.ft to 1129 sq.ft. Suites are priced from $594,900 to $849,900.",Pre-Construction,Yes,"$65,000",Yes,Waitlist,Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 2.5% - 180 days || 2.5% - 365 days || 2.5% - 420 days || 2.5% - 450 days || 5% - Occupancy || "
"316 Junction Condos is a new condominium development by Marlin Spring Developments currently in pre-construction located at 316 Campbell Avenue, Toronto in the The Junction neighbourhood with a 82/100 walk score and a 75/100 transit score. 316 Junction Condos is designed by Giannone Petricone Associates Inc. and will feature interior design by TLY - Truong Ly Design. Development is scheduled to be completed in 2026. The project is 26 storeys tall and has a total of 313 suites ranging from 419 sq.ft to 1086 sq.ft. Suites are priced from $616,990 to $1,295,990.",Pre-Construction,Yes,"$85,000",Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - Mar 22, 2024 || 5% - Mar 12, 2025 || 5% - Occupancy || "
"The Davies is a new condominium development by Brandy Lane Homes currently under construction located at 281 Avenue Road, Toronto in the Summerhill neighbourhood with a 94/100 walk score and a 86/100 transit score. The Davies is designed by SMV Architects and will feature interior design by Lukas Design Interiors. Development is scheduled to be completed in 2023. The project is 9 storeys tall (30.5m, 100.0ft) and has a total of 37 suites ranging from 855 sq.ft to 2900 sq.ft. The Davies is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $1,800,000 to $3,500,000.",Under Construction,Yes,Included (1),Yes,"$25,000",Condo,5% On Signing || 5% - 60 days || 10% - Occupancy || 
"BT Modern Towns Bayview Village is a new condominium development by Algar Developments Inc. & Buildcrest that is now complete located at 12 Dervock Crescent, Toronto in the Bayview Village neighbourhood with a 70/100 walk score and a 71/100 transit score. Development is scheduled to be completed in 2022. The project is 3 storeys tall and has a total of 24 suites ranging from 839 sq.ft to 1585 sq.ft. Suites are priced from $1,079,900 to $1,599,900.",Complete,Yes,"$70,000",Yes,"$3,500",Townhouse,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 5% - Occupancy || "
"Burke Condos is a new condominium development by Concert currently under construction located at 603 Sherbourne Street, Toronto in the Cabbagetown neighbourhood with a 95/100 walk score and a 95/100 transit score. Burke Condos is designed by IBI Group and will feature interior design by EsQape Design Inc.. Development is scheduled to be completed in 2025. The project is 53 storeys tall and has a total of 501 suites ranging from 436 sq.ft to 2091 sq.ft. Suites are priced from $1,082,900 to $1,442,900.",Under Construction,Yes,"$70,000",Yes,"$6,500",Condo,"$5,000.00 On Signing || 5% - 30 days || 2.5% - 120 days || 2.5% - 240 days || 2.5% - 365 days || 2.5% - 545 days || "
"NorthCore Condos is a new condominium development by Fieldgate Urban & Westdale Properties currently in pre-construction located at 53 Sheppard Avenue West, Toronto in the Lansing-Westgate neighbourhood with a 91/100 walk score and a 89/100 transit score. NorthCore Condos is designed by IBI Group and will feature interior design by Figure3. Development is scheduled to be completed in 2026. The project is 16 storeys tall and has a total of 352 suites ranging from 333 sq.ft to 1076 sq.ft. Suites are priced from $506,000 to $1,692,000.",Pre-Construction,Yes,"$95,000",Yes,Waitlist,Condo &Townhouse,"$10,000.00 On Signing || Balance to 5% - 30 days || 2.5% - 300 days || 2.5% - 450 days || 5% - 600 days || 5% - Occupancy || "
"Untitled North Tower Condos is a new condominium development by Reserve Properties & Westdale Properties currently in pre-construction located at 110 Broadway Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 86/100 walk score and a 87/100 transit score. Untitled North Tower Condos is designed by IBI Group and will feature interior design by U31. Development is scheduled to be completed in 2025.  ranging from 307 sq.ft to 1094 sq.ft. Suites are priced from $606,900 to $1,671,900.",Pre-Construction,Yes,"$89,900",Yes,"$7,500",Condo,"$5,000.00 On Signing || Balance to 2.5% - 30 days || 2.5% - 120 days || 10% - Occupancy || "
"Untitled Toronto Condos is a new condominium development by Reserve Properties & Westdale Properties currently under construction located at 110 Broadway Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 88/100 walk score and a 87/100 transit score. Untitled Toronto Condos is designed by IBI Group and will feature interior design by U31. Development is scheduled to be completed in 2025. The project is 34 storeys tall and has a total of 751 suites ranging from 302 sq.ft to 1661 sq.ft. Suites are priced from $588,900 to $2,521,900.",Under Construction,Yes,"$89,900",Yes,"$7,500",Condo &Townhouse,"$5,000.00 On Signing || Balance to 2.5% - 30 days || 2.5% - 120 days || 10% - Occupancy || "
"Eight Forty Condos is a new condominium development by Worsley Urban Partners that is now complete located at 840 Saint Clair Avenue West, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 94/100 walk score and a 84/100 transit score. Eight Forty Condos is designed by RAW Design and will feature interior design by U31. Development is scheduled to be completed in 2022. The project is 9 storeys tall and has a total of 116 suites ranging from 530 sq.ft to 1340 sq.ft. Suites are priced from $852,900 to $1,399,900.",Complete,Yes,Included (1),Yes,Included (1),Condo,5% On Signing || 
"Yorkville Private Estates Condos is a new condominium development by Camrost-Felcorp that is now complete located at 200 Cumberland Street, Toronto in the The Annex neighbourhood with a 98/100 walk score and a 97/100 transit score. Yorkville Private Estates Condos is designed by WZMH Architects and will feature interior design by Powell & Bonnell Interior Design. Development is scheduled to be completed in 2020. The project has a total of 48 suites ranging from 1350 sq.ft to 4340 sq.ft. Suites are priced from $2,350,000 to $8,835,000.",Complete,Yes,"$125,000",Yes,"$12,500 + HST",Condo &Luxury,5% On Signing || 7.5% - 90 days || 7.5% - 150 days || 
"Addington Park Condos is a new condominium development by Addington Developments currently in pre-construction located at 268 Sheppard Avenue West, Toronto in the Lansing-Westgate neighbourhood with a 44/100 walk score and a 78/100 transit score. Development is scheduled to be completed in 2027. The project is 9 storeys tall and has a total of 173 suites ranging from 372 sq.ft to 988 sq.ft. Suites are priced from $548,900 to $1,344,900.",Pre-Construction,Yes,"$75,000",Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || 5% - 540 days || 5% - Occupancy || "
"Galleria on the Park Condos is a new condominium development by Almadev currently under construction located at 1245 Dupont Street, Toronto in the Wallace Emerson neighbourhood with a 89/100 walk score and a 85/100 transit score. Galleria on the Park Condos is designed by CORE Architects and will feature interior design by U31. Development is scheduled to be completed in 2024. The project is 29 storeys tall and has a total of 267 suites ranging from 488 sq.ft to 1108 sq.ft. Suites are priced from $999,900 to $1,255,900.",Under Construction,Yes,"$100,000",Yes,"$7,500",Condo,"$5,000.00 On Signing || Balance to 2.5% - 30 days || 2.5% - 180 days || "
"Galleria 02 Condos is a new condominium development by Almadev currently under construction located at 1245 Dupont Street, Toronto in the Wallace Emerson neighbourhood with a 92/100 walk score and a 86/100 transit score. Galleria 02 Condos is designed by CORE Architects and will feature interior design by U31. Development is scheduled to be completed in 2024. The project is 24 storeys tall and has a total of 191 suites ranging from 427 sq.ft to 1500 sq.ft. Suites are priced from $799,900 to $1,999,900.",Under Construction,Yes,"$100,000",Yes,"$7,500",Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - Occupancy || "
